Command: /home/users14/ad477306/Verilog/Lab7/./simv -l Lab7_1.log
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-9_Full64; Runtime version N-2017.12-SP2-9_Full64;  Apr 17 00:35 2023
VCD+ Writer N-2017.12-SP2-9_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
                   0 DATA =   z, ADDR =  0, OE = 0, WS = 0, CS = 1
                 142 DATA =  39, ADDR =  8, OE = 0, WS = 0, CS = 0
                 148 DATA =  39, ADDR =  8, OE = 1, WS = 0, CS = 0
                 150 DATA =  40, ADDR =  9, OE = 0, WS = 0, CS = 0
                 156 DATA =  40, ADDR =  9, OE = 0, WS = 1, CS = 0
                 158 DATA =  40, ADDR =  9, OE = 0, WS = 0, CS = 0
                 164 DATA =  40, ADDR =  9, OE = 1, WS = 0, CS = 0
                 166 DATA =  41, ADDR = 10, OE = 0, WS = 0, CS = 0
                 172 DATA =  41, ADDR = 10, OE = 0, WS = 1, CS = 0
                 174 DATA =  41, ADDR = 10, OE = 0, WS = 0, CS = 0
                 180 DATA =  41, ADDR = 10, OE = 1, WS = 0, CS = 0
                 182 DATA =  42, ADDR = 11, OE = 0, WS = 0, CS = 0
                 188 DATA =  42, ADDR = 11, OE = 0, WS = 1, CS = 0
                 190 DATA =  42, ADDR = 11, OE = 0, WS = 0, CS = 0
                 196 DATA =  42, ADDR = 11, OE = 1, WS = 0, CS = 0
                 198 DATA =  43, ADDR = 12, OE = 0, WS = 0, CS = 0
                 204 DATA =  43, ADDR = 12, OE = 0, WS = 1, CS = 0
                 206 DATA =  43, ADDR = 12, OE = 0, WS = 0, CS = 0
                 212 DATA =  43, ADDR = 12, OE = 1, WS = 0, CS = 0
                 214 DATA =  44, ADDR = 13, OE = 0, WS = 0, CS = 0
                 220 DATA =  44, ADDR = 13, OE = 0, WS = 1, CS = 0
                 222 DATA =  44, ADDR = 13, OE = 0, WS = 0, CS = 0
                 228 DATA =  44, ADDR = 13, OE = 1, WS = 0, CS = 0
                 230 DATA =  45, ADDR = 14, OE = 0, WS = 0, CS = 0
                 236 DATA =  45, ADDR = 14, OE = 0, WS = 1, CS = 0
                 238 DATA =  45, ADDR = 14, OE = 0, WS = 0, CS = 0
                 244 DATA =  45, ADDR = 14, OE = 1, WS = 0, CS = 0
                 246 DATA =  46, ADDR = 15, OE = 0, WS = 0, CS = 0
                 252 DATA =  46, ADDR = 15, OE = 0, WS = 1, CS = 0
                 254 DATA =  46, ADDR = 15, OE = 0, WS = 0, CS = 0
                 260 DATA =  46, ADDR = 15, OE = 1, WS = 0, CS = 0
                 262 DATA =  47, ADDR = 16, OE = 0, WS = 0, CS = 0
                 268 DATA =  47, ADDR = 16, OE = 0, WS = 1, CS = 0
                 270 DATA =  47, ADDR = 16, OE = 0, WS = 0, CS = 0
                 276 DATA =  47, ADDR = 16, OE = 1, WS = 0, CS = 0
                 278 DATA =  48, ADDR = 17, OE = 0, WS = 0, CS = 0
                 284 DATA =  48, ADDR = 17, OE = 0, WS = 1, CS = 0
                 286 DATA =  48, ADDR = 17, OE = 0, WS = 0, CS = 0
                 292 DATA =  48, ADDR = 17, OE = 1, WS = 0, CS = 0
                 294 DATA =  49, ADDR = 18, OE = 0, WS = 0, CS = 0
                 300 DATA =  49, ADDR = 18, OE = 0, WS = 1, CS = 0
                 302 DATA =  49, ADDR = 18, OE = 0, WS = 0, CS = 0
                 308 DATA =  49, ADDR = 18, OE = 1, WS = 0, CS = 0
                 310 DATA =  50, ADDR = 19, OE = 0, WS = 0, CS = 0
                 316 DATA =  50, ADDR = 19, OE = 0, WS = 1, CS = 0
                 318 DATA =  50, ADDR = 19, OE = 0, WS = 0, CS = 0
                 324 DATA =  50, ADDR = 19, OE = 1, WS = 0, CS = 0
                 326 DATA =  51, ADDR = 20, OE = 0, WS = 0, CS = 0
                 332 DATA =  51, ADDR = 20, OE = 0, WS = 1, CS = 0
                 334 DATA =  51, ADDR = 20, OE = 0, WS = 0, CS = 0
                 340 DATA =  51, ADDR = 20, OE = 1, WS = 0, CS = 0
                 342 DATA =  52, ADDR = 21, OE = 0, WS = 0, CS = 0
                 348 DATA =  52, ADDR = 21, OE = 0, WS = 1, CS = 0
                 350 DATA =  52, ADDR = 21, OE = 0, WS = 0, CS = 0
                 356 DATA =  52, ADDR = 21, OE = 1, WS = 0, CS = 0
                 358 DATA =  53, ADDR = 22, OE = 0, WS = 0, CS = 0
                 364 DATA =  53, ADDR = 22, OE = 0, WS = 1, CS = 0
                 366 DATA =  53, ADDR = 22, OE = 0, WS = 0, CS = 0
                 372 DATA =  53, ADDR = 22, OE = 1, WS = 0, CS = 0
                 374 DATA =  54, ADDR = 23, OE = 0, WS = 0, CS = 0
                 380 DATA =  54, ADDR = 23, OE = 0, WS = 1, CS = 0
                 382 DATA =  54, ADDR = 23, OE = 0, WS = 0, CS = 0
                 388 DATA =  54, ADDR = 23, OE = 1, WS = 0, CS = 0
                 390 DATA =  55, ADDR = 24, OE = 0, WS = 0, CS = 0
                 396 DATA =  55, ADDR = 24, OE = 0, WS = 1, CS = 0
                 398 DATA =  55, ADDR = 24, OE = 0, WS = 0, CS = 0
                 404 DATA =  55, ADDR = 24, OE = 1, WS = 0, CS = 0
                 406 DATA =  56, ADDR = 25, OE = 0, WS = 0, CS = 0
                 412 DATA =  56, ADDR = 25, OE = 0, WS = 1, CS = 0
                 414 DATA =  56, ADDR = 25, OE = 0, WS = 0, CS = 0
                 420 DATA =  56, ADDR = 25, OE = 1, WS = 0, CS = 0
                 422 DATA =  57, ADDR = 26, OE = 0, WS = 0, CS = 0
                 428 DATA =  57, ADDR = 26, OE = 0, WS = 1, CS = 0
                 430 DATA =  57, ADDR = 26, OE = 0, WS = 0, CS = 0
                 436 DATA =  57, ADDR = 26, OE = 1, WS = 0, CS = 0
                 438 DATA =  58, ADDR = 27, OE = 0, WS = 0, CS = 0
                 444 DATA =  58, ADDR = 27, OE = 0, WS = 1, CS = 0
                 446 DATA =  58, ADDR = 27, OE = 0, WS = 0, CS = 0
                 452 DATA =  58, ADDR = 27, OE = 1, WS = 0, CS = 0
                 454 DATA =  59, ADDR = 28, OE = 0, WS = 0, CS = 0
                 460 DATA =  59, ADDR = 28, OE = 0, WS = 1, CS = 0
                 462 DATA =  59, ADDR = 28, OE = 0, WS = 0, CS = 0
                 468 DATA =  59, ADDR = 28, OE = 1, WS = 0, CS = 0
                 470 DATA =  60, ADDR = 29, OE = 0, WS = 0, CS = 0
                 476 DATA =  60, ADDR = 29, OE = 0, WS = 1, CS = 0
                 478 DATA =  60, ADDR = 29, OE = 0, WS = 0, CS = 0
                 484 DATA =  60, ADDR = 29, OE = 1, WS = 0, CS = 0
                 486 DATA =  61, ADDR = 30, OE = 0, WS = 0, CS = 0
                 492 DATA =  61, ADDR = 30, OE = 0, WS = 1, CS = 0
                 494 DATA =  61, ADDR = 30, OE = 0, WS = 0, CS = 0
                 500 DATA =  61, ADDR = 30, OE = 1, WS = 0, CS = 0
                 502 DATA =  62, ADDR = 31, OE = 0, WS = 0, CS = 0
                 508 DATA =  62, ADDR = 31, OE = 0, WS = 1, CS = 0
                 510 DATA =  62, ADDR = 31, OE = 0, WS = 0, CS = 0
                 516 DATA =  62, ADDR = 31, OE = 1, WS = 0, CS = 0
                 518 DATA =  62, ADDR = 31, OE = 0, WS = 0, CS = 0
                 520 DATA =  35, ADDR =  4, OE = 1, WS = 0, CS = 0
                 522 DATA =  36, ADDR =  5, OE = 1, WS = 0, CS = 0
                 524 DATA =  37, ADDR =  6, OE = 1, WS = 0, CS = 0
                 526 DATA =  38, ADDR =  7, OE = 1, WS = 0, CS = 0
                 528 DATA =   z, ADDR =  8, OE = 1, WS = 0, CS = 1
                 530 DATA =  40, ADDR =  9, OE = 1, WS = 0, CS = 0
                 532 DATA =  41, ADDR = 10, OE = 1, WS = 0, CS = 0
           V C S   S i m u l a t i o n   R e p o r t 
Time: 534 ns
CPU Time:      0.230 seconds;       Data structure size:   0.0Mb
Mon Apr 17 00:35:15 2023
